Name,k_wins,sb_wins,d_wins,hd_strk,lg_stk,bd_strk,st_land,st_attemp,tk_land,tk_attemp,strksL_perm,strksAb_perm,takedAv_per,subAvg_perm,strk_d,take_d,kd_rat,av_time,stand_stk,clinch_stk,grnd_stk
Thiago Alves,13,1,14,535,358,142,1035,2475,13,20,3.71,3.36,0.70,0.32,62,63,0.70,11:10,801,121,113
Keita Nakamura,7,16,10,249,17,42,308,863,18,34,2.16,3.70,1.90,0.42,59,62,0.42,14:14,246,33,29
Carlos Condit,15,13,2,489,215,192,896,2311,7,18,3.67,2.49,0.61,1.23,58,37,0.43,11:38,658,100,138
Matt Brown,0,0,0,516,76,237,829,1536,23,50,3.78,2.64,1.57,1.64,56,64,0.62,09:08,461,224,144
Demian Maia,3,12,10,520,39,83,642,1502,60,242,1.77,1.94,2.56,1.07,64,66,0.04,12:31,296,71,275
Ben Saunders,11,6,5,228,36,164,428,855,2,5,3.19,3.58,0.22,1.01,51,69,0.34,07:54,251,143,34
Dong Hyun Kim,0,0,0,327,53,44,424,865,39,89,2.12,1.89,2.93,0.60,59,72,0.30,11:05,155,84,185
Rafael Dos Anjos,5,9,14,710,252,284,1246,2745,45,112,3.62,3.32,1.96,0.70,63,59,0.22,13:15,830,230,186
Anthony Pettis,10,7,4,454,109,141,704,1538,8,22,2.87,3.22,0.73,1.22,55,59,0.43,11:10,579,51,74
Peter Sobotta,0,0,0,136,48,38,222,558,12,34,2.17,2.89,1.76,0.59,60,78,0.59,11:23,173,14,35
Tyron Woodley,7,5,7,260,48,140,448,939,5,13,2.64,3.95,0.44,0.27,57,92,0.88,13:04,214,114,120
Tarec Saffiedine,1,5,10,196,102,62,360,784,4,12,3.73,7.39,0.62,0.16,62,85,0.47,16:05,301,53,6
Court McGee,5,6,9,514,201,178,893,2466,23,101,4.72,3.43,1.98,0.48,63,63,0.08,13:31,733,62,98
Jorge Masvidal,13,2,17,526,122,204,852,1775,15,31,4.11,4.18,1.16,0.51,67,78,0.43,12:58,597,142,113
Jordan Mein,16,7,7,186,54,41,281,593,14,23,3.04,3.71,2.27,0.32,69,67,0.49,10:17,202,28,51
Stephen Thompson,7,1,6,426,84,166,676,1594,5,11,3.52,2.54,0.39,0.00,60,78,0.70,13:44,595,48,33
Tim Means,19,4,5,580,99,224,903,1979,8,21,4.82,3.31,0.88,0.16,63,64,0.56,09:52,696,105,102
Siyar  Bahadurzada,14,6,4,181,19,52,252,552,5,13,3.33,2.96,1.58,0.40,50,69,0.99,10:49,118,59,75
Michael Chiesa,0,10,4,140,19,44,203,531,17,48,2.14,2.35,3.32,1.42,52,68,0.16,07:54,136,29,38
Sergio Moraes,1,8,5,276,23,63,362,832,8,32,2.48,3.27,1.33,0.51,63,75,0.10,12:11,325,11,26
Gunnar Nelson,4,12,1,159,14,30,203,351,10,25,1.76,3.51,1.95,1.04,49,67,0.13,09:38,117,19,67
Neil Magny,7,3,11,655,98,154,907,1966,41,88,3.86,2.22,2.62,0.32,57,60,0.13,11:44,489,166,252
Michel Prazeres,2,10,14,272,66,63,401,849,41,122,2.44,2.49,4.11,0.64,58,50,0.18,12:38,292,42,67
James Krause,0,0,0,426,67,88,581,1240,7,55,4.57,4.15,1.18,0.71,62,46,0.00,10:36,515,44,22
Santiago Ponzinibbio,14,6,7,358,74,47,479,1206,4,9,4.27,4.02,0.54,0.00,65,61,1.20,10:11,434,17,28
Alex Garcia,6,6,3,176,11,25,212,676,28,55,1.81,3.03,3.72,0.13,59,67,0.38,11:42,160,30,22
Claudio Silva,2,8,5,62,24,21,107,231,7,32,2.27,2.25,3.18,1.91,45,50,0.00,11:47,66,8,33
Sean Strickland,8,4,7,445,45,34,524,1482,11,19,4.34,3.62,1.37,0.50,65,82,0.37,12:05,409,39,76
Chad Laprise,8,1,5,239,82,89,410,958,6,11,4.78,3.59,1.05,0.00,65,79,0.52,08:35,349,28,33
Nordine Taleb,7,0,7,185,93,79,357,659,16,21,3.42,2.52,2.30,0.00,67,71,0.29,10:27,260,33,64
Sheldon Westcott,4,4,2,48,2,13,63,155,6,16,2.26,3.73,3.23,0.00,37,14,0.00,09:18,10,20,33
Warlley Alves,2,7,4,166,43,75,284,605,8,18,2.88,4.09,1.22,0.91,50,80,0.15,10:57,201,59,24
Jake Matthews,5,6,3,262,34,38,334,718,17,42,2.96,2.16,2.26,0.93,59,67,0.27,10:16,167,30,137
Dhiego Lima,4,5,6,93,5,10,108,240,6,9,2.56,2.96,2.13,1.42,50,50,0.71,06:02,46,7,55
Alan Jouban,11,1,4,273,102,96,471,887,3,6,5.41,3.48,0.52,0.00,61,63,1.55,07:55,369,67,35
Colby Covington,3,4,7,276,84,57,417,1071,48,94,3.26,2.20,5.63,0.23,58,78,0.12,12:47,295,51,71
Alberto Mina,6,6,1,93,25,13,131,336,5,24,3.23,3.70,1.85,0.00,47,50,1.11,10:09,96,14,21
Shinsho Anzai,7,0,3,74,9,23,106,182,4,25,3.23,3.75,1.83,0.00,46,75,0.00,08:12,59,45,2
Leon Edwards,6,3,7,239,46,86,371,753,12,44,2.35,1.86,1.33,0.47,56,68,0.38,14:23,232,68,71
Bryan Barberena,10,2,2,435,98,71,604,1236,2,6,5.90,4.76,0.29,0.29,45,47,0.88,11:22,422,114,68
Alex Oliveira,12,4,5,231,49,96,376,690,26,69,3.08,2.01,3.19,0.86,45,58,0.61,08:44,160,118,98
Bartosz Fabinski,8,0,5,63,11,28,102,145,22,31,2.22,1.35,7.17,0.00,54,80,0.00,11:31,27,42,33
Darren Till,10,2,5,170,38,29,237,515,3,10,2.41,3.09,0.61,0.00,60,83,0.76,12:18,171,22,44
Elizeu dos Santos,14,2,4,244,48,74,366,891,2,20,4.27,2.86,0.53,0.70,63,50,0.35,10:42,234,104,28
Kamaru Usman,6,1,6,408,70,190,668,1234,28,83,4.20,1.60,3.96,0.19,58,10,0.28,15:55,272,146,250
Vicente Luque,8,6,1,267,71,50,388,677,6,12,5.13,4.67,1.19,1.19,54,63,1.19,07:33,313,30,45
Lyman Good,10,3,7,108,12,24,144,295,1,1,5.18,4.14,0.54,0.00,66,73,1.08,06:57,98,33,13
Danny Roberts,7,5,4,162,39,46,247,581,,7,3.42,3.10,0.00,0.42,55,55,0.42,09:02,153,34,60
Nathan Coy,3,4,8,46,6,19,71,180,5,7,3.21,4.61,3.39,0.00,62,50,0.00,07:22,42,9,20
Alex Morono,4,6,2,295,45,47,387,918,,5,4.26,2.69,0.00,0.66,63,36,0.33,11:21,329,32,26
Randy Brown,5,3,2,156,27,35,218,491,5,12,2.89,2.37,0.99,0.60,55,77,0.20,10:46,112,53,53
Mickey Gall,0,5,0,56,3,2,61,137,4,6,1.74,3.23,1.71,3.86,40,17,0.86,05:50,17,10,34
Mike Jackson,0,0,1,57,0,10,67,114,1,1,4.25,1.33,0.95,0.00,75,89,0.00,07:53,35,14,18
Luan Chagas,6,9,0,129,41,23,193,410,1,8,4.16,3.19,0.32,0.32,62,86,1.29,11:36,169,9,15
Belal Muhammad,4,0,10,337,85,61,483,1175,15,45,4.57,4.05,2.13,0.14,61,90,0.00,13:12,424,22,37
Mike Perry,11,0,1,232,74,58,364,803,4,9,4.02,4.44,0.83,0.00,58,68,1.16,10:03,277,49,38
Max Griffin,7,2,5,227,26,60,313,619,1,8,4.28,3.81,0.61,0.20,51,60,0.82,12:12,231,52,30
CM Punk,,,,10,2,7,19,82,,,1.10,4.87,0.87,0.00,40,0.,08:37,12:12,231,52,30
Zak Ottow,4,9,4,118,45,40,203,551,3,17,2.63,2.73,0.97,0.39,59,57,0.39,09:40,174,7,22
Abdul Razak Alhassan,9,0,0,93,9,8,110,236,1,3,4.45,4.45,0.61,0.00,59,53,3.64,04:57,87,20,3
Brian Camozzi,,,,35,19,11,65,246,,,3.15,6.39,0.00,0.73,55,0.,06:53,04:57,87,20,3
Niko Price,8,3,1,87,28,21,136,414,4,14,2.93,4.29,1.29,1.62,54,67,0.97,05:48,93,17,26
Luke Jumeau,5,4,4,91,34,27,152,308,,1,3.38,3.51,0.33,0.00,55,92,0.00,15:00,108,41,3
Frank Camacho,15,3,3,261,3,56,320,699,5,11,6.23,7.82,1.46,0.00,53,80,0.00,12:51,284,34,2
Ramazan Emeev,3,7,7,78,10,25,113,239,4,18,2.51,1.40,2.00,0.33,70,80,0.33,15:00,63,32,18
Salim Touahri,6,2,2,26,5,38,69,153,,,2.30,2.63,0.00,0.00,59,82,0.00,15:00,45,24,0
Muslim Salikhov,11,2,1,14,10,11,35,75,,2,1.99,1.42,0.00,0.00,63,63,0.85,08:47,32,0,3
Curtis Millender,6,0,11,113,36,25,174,366,1,1,4.16,3.80,0.36,0.00,63,53,0.72,10:28,161,8,5
Geoff Neal,6,2,2,128,4,12,144,323,,,5.95,4.01,0.00,0.62,67,92,2.48,08:04,115,17,12
Ricky Rainey,7,1,5,12,7,6,25,56,,1,2.38,7.90,0.00,0.00,46,56,0.00,05:15,21,4,0
Chance Rencountre,6,2,4,13,6,3,22,132,,6,1.26,4.13,1.72,0.86,49,25,0.00,08:43,20,0,2
Hector Aldana,,,,62,33,13,108,260,,,4.36,5.21,1.21,0.00,63,0.,12:23,08:43,20,0,2
David Zawada,11,3,2,73,4,29,106,248,2,9,3.64,4.60,1.03,2.58,57,75,0.52,14:34,81,20,5
Aleksei Kunchenko,13,1,5,76,24,16,116,282,1,2,3.87,2.20,0.50,0.00,71,10,0.00,15:00,91,19,6
Stefan Sekulic,0,0,0,6,13,3,22,58,1,5,1.47,2.40,1.00,0.00,57,33,0.00,15:00,19,3,0
Luigi Vendramini,,,,1,1,2,4,17,,,0.63,2.37,0.00,2.37,53,0.,06:20,15:00,19,3,0
Laureano Staropoli,,,,71,11,15,97,275,,,6.47,4.60,0.00,0.00,59,0.,15:00,15:00,19,3,0
Dwight Grant,7,0,2,29,7,9,45,137,1,1,2.25,2.85,0.75,0.00,69,83,0.75,10:00,31,7,7
Kyle Stewart,4,3,4,0,0,2,2,11,,,0.83,7.45,0.00,0.00,47,50,0.00,02:25,2,0,0
Ismail Naurdiev,11,5,0,36,13,14,63,103,,1,4.20,1.00,0.00,1.00,57,77,0.00,15:00,36,6,21
Ben Askren,,,,0,0,0,0,1,,,0.00,7.80,4.50,4.50,10,0.,03:20,15:00,36,6,21
Nate Diaz,4,12,3,985,121,205,1311,2965,17,73,4.64,3.69,1.17,1.43,55,46,0.16,10:55,911,299,101
Clay Guida,7,13,14,457,169,106,732,2271,63,173,2.41,2.78,3.11,0.69,66,70,0.30,11:49,400,105,227
Joe Lauzon,0,0,0,513,12,55,580,1489,33,73,2.74,5.39,2.34,2.06,55,55,0.21,08:08,317,98,165
